股票代码,股票名称,最新价(元),市盈率(PE),ROE(%),3年平均ROE(%),股息率(%),总市值(亿元),120日均价(元),买入点(元),卖出点(元)
601717,中创智领,16.36,6.685737637923988,18.88,18.12333333333333,0.07640586797066015,300.8329627084323,19.249666666666666,16.939706666666666,21.559626666666666
603816,顾家家居,26.35,11.977272727272727,17.68,18.09,0.0523719165085389,222.76814355803555,29.586666666666666,26.036266666666666,33.13706666666667
600329,达仁堂,37.85,13.664259927797834,25.57,23.713333333333335,0.12655217965653898,291.4990274496946,40.68541666666667,35.80316666666667,45.567666666666675
600803,新奥股份,18.11,11.914473684210526,19.35,24.266666666666666,0.06294864715626726,1440.4346053817558,19.562166666666666,17.214706666666668,21.909626666666668
600066,宇通客车,32.29,12.864541832669323,38.03,27.313333333333333,0.0774233508826262,725.983995659001,31.921166666666668,28.09062666666667,35.75170666666667
600809,山西汾酒,123.75,12.3277845850393,33.48,38.74,0.05301010101010101,1528.802438479103,136.62958333333333,120.23403333333333,153.02513333333334
000568,泸州老窖,90.39,12.28125,22.66,29.39,0.015023785817015158,1333.5296225602192,95.97308333333334,84.45631333333334,107.48985333333334
002032,苏 泊 尔,42.66,16.195899772209568,35.08,35.656666666666666,0.0616502578527895,343.8316600776818,44.664750000000005,39.30498000000001,50.02452000000001
000921,海信家电,27.42,11.76824034334764,19.36,21.756666666666664,0.0,467.7974963172963,24.436250000000005,21.503900000000005,27.368600000000008
002867,周大生,13.02,12.76470588235294,17.16,17.99,0.06912442396313365,141.19678465600745,12.26825,10.79606,13.740440000000001
605599,菜百股份,16.43,11.253424657534246,26.47,21.673333333333336,0.04747413268411443,128.64845036577864,19.33941666666666,17.018686666666664,21.660146666666662
600285,羚锐制药,23.09,17.23134328358209,23.9,23.326666666666668,0.0476396708531832,132.30743946655434,21.70466666666667,19.100106666666672,24.309226666666675
000651,格力电器,40.96,7.8769230769230765,20.3,24.083333333333332,0.0244140625,2355.0548589332575,38.534083333333335,33.90999333333333,43.15817333333334
600873,梅花生物,8.18,6.9914529914529915,21.48,21.333333333333332,0.0523838630806846,229.387002780782,9.903249999999998,8.714859999999998,11.091639999999998
601838,成都银行,18.47,6.01628664495114,15.39,17.326666666666668,0.04986464537087169,880.3137242065776,17.922166666666666,15.771506666666665,20.072826666666668
000333,美的集团,85.9,14.810344827586208,19.7,21.073333333333334,0.05005820721769499,6911.939167821729,79.50175,69.96154,89.04196
603195,公牛集团,42.21,18.67699115044248,24.91,27.583333333333332,0.045013030087656954,763.6433563159754,41.339166666666664,36.37846666666666,46.29986666666667
600415,小商品城,12.58,16.337662337662337,17.53,16.563333333333333,0.0397456279809221,692.2602283337883,12.705499999999999,11.18084,14.23016
002895,川恒股份,34.19,15.613298018083842,18.17,16.933333333333334,0.05264697279906406,236.81817375717327,35.577416666666664,31.308126666666666,39.84670666666667
603198,迎驾贡酒,37.56,15.145161290322582,19.4,25.52,0.039936102236421724,301.2831607893868,35.551666666666655,31.285466666666657,39.81786666666666
002170,芭田股份,11.73,12.427163894480348,25.93,17.586666666666666,0.062233589087809044,114.13356118253368,12.517333333333333,11.015253333333334,14.019413333333334
600600,青岛啤酒,56.19,16.70829616413916,15.5,15.666666666666666,0.0418223883253248,788.1313914696688,59.695166666666665,52.53174666666666,66.85858666666667
601225,陕西煤业,24.18,13.976878612716764,17.88,19.94666666666667,0.039205955334987594,3323.2417681815314,24.546916666666668,21.601286666666667,27.49254666666667
000429,粤高速Ａ,14.62,17.0,16.83,16.549999999999997,0.04131326949384405,390.5814979603762,13.179166666666667,11.597666666666667,14.760666666666669
600690,海尔智家,22.92,10.81132075471698,16.98,17.276666666666667,0.011745200698080278,2281.1513499879134,22.089083333333335,19.438393333333334,24.739773333333336
603369,今世缘,28.28,13.54211559641814,16.39,22.016666666666666,0.04243281471004243,352.59507463784803,27.56908333333333,24.260793333333332,30.877373333333335
